Movie,Year,Pass/Fail,Ranking,Categorisation
Okuribito (Departures),2008,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
Old,2021,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Old Acquaintance,1943,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Old Dogs,2009,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Old School,2000,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Old School,2003,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Old Shatterhand,1964,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Old Surehand,1965,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Old Yeller,1957,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Oldboy,2003,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Oldboy,2013,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Older Than America,2008,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Oleanna,1994,Fail,5,Fewer than two women in this movie
Oliver & Company,1988,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Oliver Twist,2005,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Oliver!,1968,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Olympus Has Fallen,2013,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Omae Umasou da na,2010,Fail,5,Fewer than two women in this movie
Omohide poro poro,1991,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Omoide no Mani (When Marnie Was There),2014,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
On Body and Soul,2017,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
On Her Majesty's Secret Service,1969,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
On Tour,2010,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
On a Golden Pond,1981,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
On the Basis of Sex,2018,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
On the Town,1949,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
On the Trail of Igor Rizzi,2006,Fail,5,Fewer than two women in this movie
On the Waterfront,1954,Fail,5,Fewer than two women in this movie
Once,2006,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Once Upon A Time In America,1984,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Once Upon a Forest,1993,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
Once Upon a Time ... In Hollywood,2019,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Once Upon a Time in Mexico,2003,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Once Upon a Time in Vietnam,2013,Fail,5,Fewer than two women in this movie
Once Upon a Time in the West,1968,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Once Upon a Warrior,2011,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Once upon a time in Anatolia,2011,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Ondine,2009,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
One Day,2011,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
One Flew Over the Cuckoo's Nest,1975,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
One Hot Summer,2009,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
One Hour Photo,2002,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
One Hundred and One Dalmatians,1961,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
One Million Years B.C.,1966,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
One Million Yen Girl,2008,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
One Night in Miami...,2020,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
One Point O,2004,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
One for the Money,2012,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
"One, Two, Three",1961,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
Ong-bak,2003,Fail,5,Fewer than two women in this movie
Onibaba,1964,Fail,5,Fewer than two women in this movie
Only God Forgives,2013,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Only Lovers Left Alive,2013,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
Only the Brave,2017,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Onward,2020,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Open Road,2013,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Open Season,2006,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Open Water,2003,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Open Your Eyes,1997,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Operation Delta Force 4: Deep Fault,1999,Fail,5,Fewer than two women in this movie
Operation Delta Force 5: Random Fire,2000,Fail,5,Fewer than two women in this movie
Operation: Endgame,2010,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Ophelia,2018,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Opie Gets Laid,2009,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Or,2004,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Oranges Are Not The Only Fruit,1989,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Oranges and Sunshine,2010,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Orca,1977,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Ordinary Decent Criminal,2000,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Ordinary People,1980,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Orgazmo,1997,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Original Sin,2001,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Orlando,1992,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Orphan,2009,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Orphan Black,2013,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Orphans of the Storm,1921,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Orpheus,1950,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Osaka Elegy,1936,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Oscar,1991,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Osenniy marafon,1979,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
"Oslo, 31. august",2011,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Osmosis Jones,2001,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
Ossessione,1943,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Otac na sluzbenom putu,1985,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
Othello,1995,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Other Halves,2015,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Other People,2016,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Other People's Money,1991,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
OtherLife,2017,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Otherhood,2019,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Ouija,2014,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Ouija: Origin of Evil,2016,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Our Dancing Daughters,1928,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Our Family Wedding,2010,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Our Hospitality,1923,Fail,5,Fewer than two women in this movie
Our Idiot Brother,2011,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Our Kind of Traitor,2016,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Our Little Sister,2015,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Our Man Flint,1966,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Our RoboCop Remake,2014,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Our Summer in Tehran,2009,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Out at the Wedding,2007,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Out in the Dark,2012,Fail,5,Fewer than two women in this movie
Out in the Night,2014,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Out of Africa,1985,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Out of Sight,1998,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Out of the Dark,2014,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Out of the Furnace,2013,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Outbreak,1995,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Outcast,2014,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
Outer Space,1999,Fail,5,Fewer than two women in this movie
Outland,1981,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Outlaw,2007,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Outpost,2008,Fail,5,Fewer than two women in this movie
Outrageous Fortune,1987,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Outside the Law,2010,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Outsourced,2006,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Over Her Dead Body,2008,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Over the Hedge,2006,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
Over the Moon,2020,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Overboard,1987,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Overboard,2018,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Overcome,2008,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Owning Mahowny,2003,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Oxygen,2021,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Oz the Great and Powerful,2013,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
P.S. I Love You,2007,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
P2,2007,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
PK,2014,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Paa,2009,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Pacific Rim,2013,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Pacific Rim: Uprising,2018,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Paddington,2014,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Paddington 2,2017,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Paddleton,2019,Fail,5,Fewer than two women in this movie
Page One: Inside the New York Times,2011,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Pain & Gain,2013,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Paint Your Wagon,1969,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Pale Rider,1985,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Palindromes,2004,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Palm Springs,2020,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Palo Alto,2013,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Pan,2015,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Pandemic,2016,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Pandora's Box (Die Büchse der Pandora),1929,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
Pandorum,2009,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Pane e burlesque,2014,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Panic Room,2002,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Panic in the Streets,1950,Fail,5,Fewer than two women in this movie
Papadopoulos & Sons,2012,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Paper Heart,2009,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Paper Moon,1973,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Paper Planes,2014,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Papertowns,2015,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Papicha,2019,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Papillon,1973,Fail,5,Fewer than two women in this movie
Paprika,1991,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Paprika,2006,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
ParaNorman,2012,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Parada,2011,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Paradies: Liebe,2012,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Paradise Now,2005,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Paradise Road,1997,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Parallels,2014,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Paranormal Activity,2007,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
Paranormal Activity 2,2010,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Paranormal Activity 3,2011,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Paranormal Activity 4,2012,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Paranormal Activity: The Marked Ones,2014,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Parasakthi,1952,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Parched,2015,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Pardon Us,1931,Fail,5,Fewer than two women in this movie
Parental Guidance,2012,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Pariah,2011,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Paris 36,2008,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Paris Blues,1961,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
Paris is Burning,1990,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Paris je t'aime,2006,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
"Paris, Texas",1984,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Paris-Manhattan,2012,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
Parker,2013,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Parnell,1937,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Particle Fever,2013,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Party Girl,1995,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Pasadena,2013,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Pascual Duarte,1976,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Pass Over,2018,Fail,5,Fewer than two women in this movie
Passage de Venus,1874,Fail,5,Fewer than two women in this movie
Passenger 57,1992,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Passengers,2008,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Passengers,2016,Fail,5,Fewer than two women in this movie
Passing,2021,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Passion,2012,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Passion Fish,1992,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Pat Garrett & Billy the Kid,1973,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Pat and Margaret,1994,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Patch Adams,1998,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
Patema Inverted,2013,Fail,5,Fewer than two women in this movie
Paterson,2016,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Pather Panchali,1955,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Paths of Glory,1957,Fail,5,Fewer than two women in this movie
Patient Zero,2018,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Patients,2016,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
"Patrik, Age 1.5",2008,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Patton,1970,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Paul,2011,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Paul Blart: Mall Cop 2,2015,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Paulette,2012,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Pause,2019,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Pauvre Pierrot,1892,Fail,5,Fewer than two women in this movie
Pawn Sacrifice,2015,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Pay it Foward,2000,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
Payback,1999,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Paycheck,2003,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Payday,1973,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
"Peace, Love, & Misunderstanding",2011,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Peacock,2010,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Pearl Harbor,2001,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Pecker,1998,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Pee-wee's Big Adventure,1985,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Peeping Tom,1960,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Peeples,2013,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
Peggy Sue Got Married,1986,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Peking Opera Blues,1986,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Peliculas para no dormir: Adivina quien soy,2006,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Peliculas para no dormir: La culpa,2006,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Peliculas para no dormir: Para entrar a vivir,2006,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
Peliculas para no dormir: Regreso a Moira,2006,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Películas para no dormir: La habitación del niño,2006,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Penelope,2006,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Penguin Bloom,2020,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Penguins of Madagascar,2014,Fail,5,Fewer than two women in this movie
Pennies from Heaven,1936,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Pennies from Heaven,1981,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Pentagram,2019,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Pentathlon,1994,Fail,5,Fewer than two women in this movie
People Like Us,2012,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Pepe le Moko,1937,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
"Pepi, Luci, Bom and Other Girls Like Mom",1980,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Peppermint Frappe,1967,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Peppermint Soda,1977,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Per un pugno di dollari (A Fisful of Dollars),1964,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Percy Jackson & the Olympians: The Lightning Thief,2010,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
Percy Jackson: Sea of Monsters,2013,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Perfect Blue,1998,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Perfect Mothers,2013,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Perfect Sense,2011,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Perfect Sisters,2014,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Performaniax,2019,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Perfume: The Story of a Murderer,2006,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Perrier's Bounty,2009,Fail,5,Fewer than two women in this movie
Persepolis,2007,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Persona,1966,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Persona 3 the Movie: #1 Spring of Birth,2013,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Personal Shopper,2016,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Persuasion,1995,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Pet,2016,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Pet Sematary,2019,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
Pete Smalls Is Dead,2010,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Pete's Dragon,1977,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Pete's Dragon,2016,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Peter Pan,1953,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
Peter Pan,2003,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Peter's Friends,1992,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Petersburg: a selfie,2016,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Petit paysan,2017,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Petite Maman,2021,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Pferd und Reiter Springen uber ein Hindernis,1888,Fail,5,Fewer than two women in this movie
Phantasm,1979,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Phantom Thread,2017,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Phantom of the Paradise,1974,Fail,5,Fewer than two women in this movie
Phantoms,1998,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Phase 7,2011,Fail,5,Fewer than two women in this movie
Phenomena,1985,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Phffft,1954,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Philadelphia,1993,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Philomena,2013,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Phineas and Ferb the Movie: Candace Against the Universe,2020,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Phoebe in Wonderland,2008,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Phoenix,2014,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Phoenix Incident,2015,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Phone Booth,2002,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Pi,1998,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Pickup on South Street,1953,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Picnic at Hanging Rock,1975,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Picture Bride,1994,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Picture Claire,2000,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Picture Perfect,1997,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Picture This,2008,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Pieces of April,1993,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Pieces of a Woman,2020,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Pig,2021,Fail,5,Fewer than two women in this movie
Pilgrimage,2017,Fail,5,Fewer than two women in this movie
Pillow Talk,1959,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Pineapple Express,2008,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Pink,2016,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Pink Flamingos,1972,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Pink Floyd The Wall,1982,Fail,5,Fewer than two women in this movie
Pink Saris,2010,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Pinky,1949,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Pinocchio,1940,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Pippi in the South Seas,1970,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Piratensender Power Play,1982,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Pirates,1986,Fail,5,Fewer than two women in this movie
Pirates II: Stagnetti's Revenge,2008,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Pirates of the Caribbean: At World's End,2007,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Pirates of the Caribbean: Dead Man's Chest,2006,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Pirates of the Caribbean: Dead Men Tell No Tales,2017,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Pirates of the Caribbean: On Stranger Tides,2011,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Pirates of the Caribbean: The Curse of the Black Pearl,2003,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Pitch Black,2000,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Pitch Perfect,2012,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Pitch Perfect 2,2015,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Pitch Perfect 3,2017,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Pixels,2015,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Plan 9 from Outer Space,1959,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Plan B,2021,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Planes,2013,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
"Planes, Trains & Automobiles",1987,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Planes: Fire & Rescue,2014,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Planet 51,2009,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Planet Terror,2007,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Planet of Dinosaurs,1977,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Planet of the Apes,1968,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Planet of the Apes,2001,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Planet of the Erotic Ape,2002,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Planetarium,2016,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Plasmatic Day,2017,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Platoon,1986,Fail,5,Fewer than two women in this movie
Platzspitzbaby,2020,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Play Misty for Me,1971,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Playtime,1967,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Pleasantville,1998,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
Please Give,2010,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Please Stand By,2018,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Pledge This!,2006,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Plush,2013,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Pocahontas,1995,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Pocahontas 2: Journey to a New World,1998,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Pocket Monsters: Mewtwo Strikes Back!,1999,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Poetic Justice,1993,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
